run,logged_reward_calls,mean_degenerate_fraction,final_degenerate_fraction
E1_s123,167,0.18562874251497005,1.0
E1_s42,167,0.1437125748502994,1.0
E1_s456,167,0.15568862275449102,0.0
E3_s123,167,0.6227544910179641,1.0
E3_s42,167,0.6586826347305389,0.0
E3_s456,167,0.5748502994011976,1.0
E4_s123,167,0.38323353293413176,0.0
E4_s42,167,0.30538922155688625,1.0
E4_s456,167,0.3532934131736527,0.0
